id,text,category,subcategory,urgency,needs_human
70,튜토리얼이 끝난 뒤 다음 단계로 넘어가지 않습니다.,bug_report,tutorial_block,high,true
71,번개 마법사가 너무 강한 것 같아요. 특정 조합만 쓰면 게임이 쉽습니다.,feedback_balance,overpowered,medium,true
72,초반 골드 획득량이 적어 게임이 지루해요. 경제 개선 부탁드립니다.,feedback_balance,economy,medium,true
73,일부 장비가 성능에 비해 너무 흔하게 나옵니다. 드랍율 조정 제안합니다.,feedback_balance,drop_rate,low,true
74,타워 업그레이드 비용 대비 효율이 낮은 것 같습니다.,feedback_balance,upgrade_efficiency,medium,true
75,전설 마법사 등장 확률이 낮아 너무 운 요소가 큽니다.,feedback_balance,rarity,low,true
76,특정 스킬 조합이 지나치게 강력해요. 밸런스 패치 필요합니다.,feedback_balance,skill_combo,medium,true
77,경험치 획득량이 레벨에 비해 너무 적습니다. 성장 속도 조정 가능할까요?,feedback_balance,experience_rates,low,true
78,일부 덱이 메타적으로 너무 우세해 다양성이 떨어집니다.,feedback_balance,meta_diversity,medium,true
79,장비 업그레이드 비용이 게임플레이에 비해 과도하다고 느껴집니다.,feedback_balance,equipment_costs,medium,true
80,레조넌스 보너스가 체감되지 않아요. 수치 확인 부탁드립니다.,feedback_balance,resonance_effects,low,true
81,마을 상점에서 특정 장비가 재고에 안 떠요. 판매 로직이 문제인가요?,equipment_inventory,shop_stock,medium,true
82,장비 업그레이드 시 UI가 멈추고 진행이 안 됩니다.,equipment_inventory,upgrade_ui_bug,high,true
83,인벤토리 최대치가 너무 낮아서 자주 정리해야 합니다.,equipment_inventory,inventory_size,low,true
84,장비에 붙은 옵션이 전투에 반영되지 않는 것 같습니다.,equipment_inventory,equip_apply_bug,high,true
85,장비 수치 표기와 실제 효과가 달라요. 예: 공격력 +10인데 변화 없음.,equipment_inventory,item_stats_mismatch,medium,true
86,장비 얻는 이벤트가 잘못 작동하는 것 같아요. 보상을 못 받았습니다.,equipment_inventory,event_bug,high,true
87,스테이지 보상으로 주는 장비가 과하게 강한 편이에요. 밸런스 확인 바랍니다.,equipment_inventory,reward_balance,low,true
88,장비 필터에서 희귀도 기준이 작동하지 않습니다.,equipment_inventory,filter_bug,medium,true
89,타워 진행 중 보상이 특정 상황에서 지급되지 않습니다.,tower_progress,reward_bug,high,true
90,층 보스 패턴이 한 번 깨면 다시는 등장하지 않는 버그가 있어요.,tower_progress,boss_spawn_bug,high,true
91,스킬 시전 시 사운드가 출력되지 않습니다.,skill_combat,sound_bug,low,true
92,스킬 트리 중 특정 분기가 적용되지 않는 것 같아요.,skill_combat,skill_tree_bug,medium,true
93,광역 스킬이 특정 몬스터에 먹히지 않습니다. 판정 문제인가요?,skill_combat,hitbox_issue,medium,true
94,스킬 파티클이 화면에 남아 프레임을 잡아먹습니다.,skill_combat,performance,medium,true
95,게임 내 채팅창에서 특수문자 입력 시 강제 종료됩니다.,bug_report,chat_crash,high,true
96,레벨 보상이 중복 지급되는 경우가 있습니다. 확인 부탁드립니다.,bug_report,reward_duplication,high,true
97,전설 마법사 합성 시 재료가 소모되었는데 아무 일도 일어나지 않았어요.,bug_report,resonance_fail,high,true
98,밸런스 패치 후 일부 스킬이 설명과 다르게 작동해요.,feedback_balance,patch_effects,medium,true
99,초보자용 추천 빌드가 업데이트되지 않았습니다. 가이드 반영 부탁드려요.,gameplay_guide,beginner_guide,low,false
100,플레이 중 간헐적으로 소리가 끊깁니다. 사운드 재생 문제인 듯합니다.,bug_report,sound_glitch,medium,true
